LFARG,LFFUNC,LFVAL
кремль,LOC,в
дом,LOC,в
неделя,LOC,на
вторник,LOC,в
результат,ADV2-UN,в
кремль,LOC,в
заседание,CAUSFUNC0,проводить
четверг,LOC,в
обещание,S0_REAL1-M,выполнение
гарантия,OPER1,давать
время,LOC,в
годовщина,LOC,в
информация,OPER1,владеть
впечатление,CAUSFUNC0,производить
конец,LOC,в
время,LOC,в
заработок,FUNC2,составлять
сша,LOC,в
внимание,OPER2,привлекать
стоимость,MAGN,высокий
рост,MAGN,быстрый
рынок,LOC,на
рынок,LOC,на
внимание,OPER2,привлекать
действие,S0_OPER1,совершение
конец,LOC,в
результат,ADV2-UN,в
рынок,LOC,на
стоимость,FUNC2,составлять
оценка,OPER1,давать
расти,MAGN,быстро
страна,LOC,в
рынок,LOC,на
обуза,INCEPOPER2,становиться
проявляться,MAGN,ярко
год,LOC,в
функция,OPER1,выполнять
сфера,LOC,в
журнал,CAUSFUNC0,печатать
роль,MAGN,ведущий
сша,LOC,в
год,LOC,в
вклад,OPER1,вносить
десятилетие,LOC,в
год,LOC,в
сша,LOC,в
год,LOC,в
расписание,CAUSFUNC2,составлять
момент,LOC,в
доступ,OPER1,иметь
темп,MAGN,высокий
ответственность,CAUSFUNC1,возлагать
ответственность,MAGN,весь
кризис,CAUSFUNC0,вызывать
борьба,REAL1-M,побеждать
рынок,LOC,на
проблема,S0_CAUSFACT0-M,решение
вклад,OPER1,вносить
образ,MAGN,яркий
основа,ADV2-UN,на
надежда,ADV1-UN,в
противоположный,MAGN,диаметрально
интерес,OPER2,представлять
состояние,LIQUOPER1,выводить
уровень,ANTIMAGN,низкий
ситуация,INCEPFUNC0,складываться
страна,LOC,в
проблема,FUNC2,заключаться
отношение,OPER1,иметь
сила,OPER1,иметь
период,LOC,в
попытка,OPER1,предпринимать
попытка,OPER1,делать
уровень,LOC,на
конфликт,INCEPFUNC0,разгораться
конфликт,ADV1-UN,в
проблема,FUNC2,заключаться
жизнь,FUNC0,протекать
дело,FUNC0,обстоять
требование,OPER1,выдвигать
причина,ADV2-UN,по
основа,ADV2-UN,на
положение,OPER1,находиться
конфликт,ADV1-UN,в
чувство,OPER1,испытывать
долг,REAL1-M,исполнять
кара,MAGN,суровый
момент,LOC,в
средневековье,LOC,в
проблема,S0_CAUSFACT0-M,решение
право,INCEPOPER1,получать
ревизия,OPER2,подвергаться
вопрос,ADV2-UN,под
речь,FUNC0,идти
речь,FUNC0,идти
основа,LOC,в
цель,OPER1,преследовать
средневековье,LOC,в
влияние,ADV2-UN,под
значение,OPER1,иметь
значение,MAGN,огромный
контроль,OPER2,находиться
способность,OPER1,обладать
действие,ADV2-UN,под
пример,OPER2,служить
известный,MAGN,хорошо
характер,OPER1,носить
спектр,MAGN,широкий
изучение,MAGN,серьезный
изучение,OPER1,заниматься
связывать,MAGN,тесно
деятельность,S0_INCEPOPER1,развитие
изучение,OPER1,заниматься
внимание,INCEPOPER1,направлять
исключать,MAGN,полностью
вклад,OPER1,вносить
вклад,MAGN,большой
метод,CAUSFUNC0,разрабатывать
изучение,OPER1,заниматься
среда,LOC,в
разнообразие,OPER1,отличаться
предпочтение,OPER1,отдавать
известный,MAGN,хорошо
пример,OPER2,служить
пример,OPER2,служить
агрессия,CAUSFUNC0,вызывать
механизм,CAUSFACT0,включать
механизм,CAUSFACT0,запускать
характер,INCEPOPER1,приобретать
сезон,LOC,в
воздействие,OPER1,оказывать
действие,ADV2-UN,под
право,INCEPOPER1,получать
условие,CAUSFUNC0,создавать
связывать,MAGN,тесно
яйцо,S0_CAUSFUNC0,откладка
яйцо,CAUSFACT0,насиживать
условие,MAGN,необходимый
яйцо,CAUSFACT0,насиживать
значение,OPER1,иметь
роль,OPER1,играть
яйцо,CAUSFUNC0,откладывать
доступ,CAUSFUNC1,давать
реакция,INCEPFUNC0,возникать
